_id;author_prename;author_surname;title;source;year;editor_prename;editor_surname;volume;title_addition;year_first;edition;issue;pages;pages_exzerpt;archive;author_address;address;genre;textclass;note;female_education;author_address_geo;address_geo
Z_T_1864_RM_0001;M.;R.;Das Lesebuch als Mittelpunkt für - Alles;Allgemeine deutsche Lehrerzeitung;1864;;;16;;;;6;45-47;;https://bbf-scripta-paedagogica.de/viewer/image/020612311_0016/1/LOG_0003/;;Leipzig;Theorie;Zeitschriftenartikel;schlechte Qualität der ocr gescannten Dokumente;;;Leipzig
Z_T_1864_RIC_0002;Albert;Richter;Göthe als Erzieher;Allgemeine deutsche Lehrerzeitung;1864;;;16;;;;18;141-144;;https://bbf-scripta-paedagogica.de/viewer/image/020612311_0016/1/LOG_0003/;;Leipzig;Theorie;Zeitschriftenartikel;schlechte Qualität der ocr gescannten Dokumente;;;Leipzig
Z_T_1864_MBI_0003;[unknown];Möbius;Über das Studium der deutschen Dichtung als eines der vorzüglichsten nationalen Bildungsmittel;Allgemeine deutsche Lehrerzeitung;1864;;;16;;;;26;205-209;;https://bbf-scripta-paedagogica.de/viewer/image/020612311_0016/1/LOG_0003/;;Leipzig;Theorie;Zeitschriftenartikel;schlechte Qualität der ocr gescannten Dokumente;;;Leipzig
Z_T_1859_CHA_0004;W.;Chamloth;Schiller und die deutsche Jugend;Allgemeine deutsche Lehrerzeitung;1859;;;11;;;;32;225-228;;https://bbf-scripta-paedagogica.de/viewer/image/020612311_0011/1/LOG_0003/;;Leipzig;Theorie;Zeitschriftenartikel;schlechte Qualität der ocr gescannten Dokumente;;;Leipzig
Z_E_1856_GER_0005;[unknown];Gertenbach;Ein Räthsel von Schiller;Allgemeine deutsche Lehrerzeitung;1856;;;8;;;;6;46-47;;https://bbf-scripta-paedagogica.de/viewer/image/020612311_0008/1/LOG_0003/;;Leipzig;Erläuterung;Zeitschriftenartikel;schlechte Qualität der ocr gescannten Dokumente;;;Leipzig
Z_T_1855_ON_0006;[unknown];[unknown];Märchen und Sagen in der Schule, und der Aberglaube im Hause;Allgemeine deutsche Lehrerzeitung;1855;;;7;;;;1;453-452;;https://bbf-scripta-paedagogica.de/viewer/image/020612311_0007/1/LOG_0003/;;Leipzig;Theorie;Zeitschriftenartikel;schlechte Qualität der ocr gescannten Dokumente;;;Leipzig
Z_T_1855_MEI_0007;Julius;Meier;Sagen und Märchen;Allgemeine deutsche Lehrerzeitung;1855;;;7;;;;12;83-84;;https://bbf-scripta-paedagogica.de/viewer/image/020612311_0007/1/LOG_0003/;;Leipzig;Theorie;Zeitschriftenartikel;schlechte Qualität der ocr gescannten Dokumente;;;Leipzig
Z_E_1855_DRR_0008;E.;Dürre;Lesebuchstoff und Volkspoesie;Allgemeine deutsche Lehrerzeitung;1855;;;7;;;;15;105-107;;https://bbf-scripta-paedagogica.de/viewer/image/020612311_0007/1/LOG_0003/;;Leipzig;Erläuterung;Zeitschriftenartikel;schlechte Qualität der ocr gescannten Dokumente;;;Leipzig
Z_M_1855_TIE_0009;H. S.;Tiedemann;Die Auffsatzlehre (Stilübungen) in der Schule;Allgemeine deutsche Lehrerzeitung;1855;;;7;;;;29;109-210;;https://bbf-scripta-paedagogica.de/viewer/image/020612311_0007/1/LOG_0003/;;Leipzig;Methodik;Zeitschriftenartikel;schlechte Qualität der ocr gescannten Dokumente;;;Leipzig
Z_T_1873_ON_0010;[unknown];[unknown];Die moderne deutsche Prosa;Allgemeine deutsche Lehrerzeitung;1873;;;25;;;;41;325-329;;https://bbf-scripta-paedagogica.de/viewer/image/020612311_0025/1/LOG_0003/;;Leipzig;Theorie;Zeitschriftenartikel;schlechte Qualität der ocr gescannten Dokumente;;;Leipzig
Z_M_1857_ON_0011;[unknown];[unknown];Eine Lesestunde;Allgemeine deutsche Lehrerzeitung;1857;;;9;;;;28;202-204;;https://bbf-scripta-paedagogica.de/viewer/image/020612311_0009/1/LOG_0003/;;Leipzig;Methodik;Zeitschriftenartikel;schlechte Qualität der ocr gescannten Dokumente;;;Leipzig
Z_E_1862_OSW_0012;J.;Oswald;Sprüchwörter;Allgemeine deutsche Lehrerzeitung;1862;;;14;;;;26;188-189;;https://bbf-scripta-paedagogica.de/viewer/image/020612311_0014/1/LOG_0003/;;Leipzig;Erläuterung;Zeitschriftenartikel;schlechte Qualität der ocr gescannten Dokumente;;;Leipzig
Z_M_1862_KRB_0013;F. W.;Körbitz;Über eine Verkehrtheit beim Leseunterricht;Allgemeine deutsche Lehrerzeitung;1862;;;14;;;;47;345-346;;https://bbf-scripta-paedagogica.de/viewer/image/020612311_0014/1/LOG_0003/;;Leipzig;Methodik;Zeitschriftenartikel;schlechte Qualität der ocr gescannten Dokumente;;;Leipzig
Z_T_1862_ON_0014;[unknown];[unknown];Literaturgeschichte oder nicht?;Allgemeine deutsche Lehrerzeitung;1862;;;14;;;;46;339-340;;https://bbf-scripta-paedagogica.de/viewer/image/020612311_0014/1/LOG_0003/;;Leipzig;Theorie;Zeitschriftenartikel;schlechte Qualität der ocr gescannten Dokumente;;;Leipzig
Z_T_1871_WIN_0015;Florens;Winkler;Lessing als Erzieher des deutschen Volkes;Allgemeine deutsche Lehrerzeitung;1871;;;23;;;;3;17-19;;https://bbf-scripta-paedagogica.de/viewer/image/020612311_0023/1/LOG_0003/;;Leipzig;Theorie;Zeitschriftenartikel;schlechte Qualität der ocr gescannten Dokumente;;;Leipzig
Z_T_1825_ON_0016;[unknown];[unknown];Teutsche Sprache und Literatur;Allgemeine Schulzeitung;1825;;;2;;;;142;1133-1134;;https://archive.org/details/bub_gb_PLNLAAAAcAAJ;;Darmstadt;Theorie;Zeitschriftenartikel;;;;Darmstadt
Z_T_1812_BES_0017;Karl;Besselde;Ueber die Nothwendigkeit, altdeutsche Gedichte auf Schulen zu lesen;Archiv deutscher Nationalbildung;1812;;;1;;;;3;368-396;;http://opacplus.bsb-muenchen.de/title/4289205/ft/bsb10762122;;Berlin;Theorie;Zeitschriftenartikel;;;;Berlin
Z_E_1843_VIE_0018;Heinrich;Viehoff;Commentar zu Göthe's Hermann und Dorothea;Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;1;;;;1;1-24;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Erläuterung;Zeitschriftenartikel;;;;Düsseldorf
Z_E_1843_VIE_0019;Heinrich;Viehoff;Gedichte von A. W. von Schlegel;Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;1;;;;1;24-78;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Erläuterung;Zeitschriftenartikel;;;;Düsseldorf
Z_E_1843_VIE_0020;Heinrich;Viehoff;Gedichte von Freiligrath. Einleitendes;Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;1;;;;1;110;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Erläuterung;Zeitschriftenartikel;;;;Düsseldorf
Z_E_1843_HIE_0021;Robert Heinrich;Hiecke;Zwei Prosastücke erläutert von R. H. Hiecke;Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;1;;;;1;110-124;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Erläuterung;Zeitschriftenartikel;;;;Düsseldorf
Z_L_1843_VIE_0022;Heinrich;Viehoff;Aufgaben zu deutschen Arbeiten für die oberste Bildungsstufe, mit literarischen Nachweisungen;Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;1;;;;1;125-127;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Lehrmittel;Zeitschriftenartikel;;;;Düsseldorf
Z_L_1843_VIE_0023;Heinrich;Viehoff;Eine Stufenfolge metrischer Aufgaben für höhere Classen;Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;1;;;;1;127-162;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Lehrmittel;Zeitschriftenartikel;;;;Düsseldorf
Z_E_1843_VIE_0024;Heinrich;Viehoff;Commentar zu Göthe's Hermann und Dorothea (Fortsetzung);Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;1;;;;2;1-37;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Erläuterung;Zeitschriftenartikel;;;;Düsseldorf
Z_E_1843_KEH_0025;Joseph;Kehrein;Commentar zu Göethe's Faust,;Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;1;;;;2;37-95;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Erläuterung;Zeitschriftenartikel;;;;Düsseldorf
Z_E_1843_VIE_0026;Heinrich;Viehoff;Commentar zu einer Auswahl kleinerer Dichtungen von Göthe;Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;1;;;;2;96--125;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Erläuterung;Zeitschriftenartikel;;;;Düsseldorf
Z_R_1843_HOF_0027;Karl;Hoffmeister;Hülsmann, Ueber den Unterricht in der deutschen Sprache und Literatur;Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;1;;;;2;173-187;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Rezension;Zeitschriftenartikel;;;;Düsseldorf
Z_R_1843_ECH_0028;C. H.;E.;"Nodnagel, Deutsche Dichter der Gegenwart, erläutert 1842; Lessing's Dramen erläutert. 1842";Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;1;;;;2;205-209;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Rezension;Zeitschriftenartikel;;;;Düsseldorf
Z_R_1843_ECH_1045;C. H.;E.;Nodnagel, Deutsche Dichter der Gegenwart, Zweites Heft;Archiv für den Unterricht im Deutschen in Gymnasien, Realschulen und andern höhern Lehranstalten. Eine Vierteljahrsschrift, herausgegeben von Heinrich Viehoff, Oberlehrer an der Realschule zu Düsseldorf.;1843;;;;;;;3;182-188;;https://opacplus.bsb-muenchen.de/discovery/fulldisplay?docid=alma991063255639707356&context=L&vid=49BVB_BSB:VU1&lang=de&search_scope=MyInst_and_CI&adaptor=Local%20Search%20Engine&tab=Everything&query=any,contains,%22archiv%20f%C3%BCr%20den%20unterricht%20im%20deutschen%22;;Düsseldorf;Rezension;Zeitschriftenartikel;;;;Düsseldorf
