word,pos,count,tag1,tag2,tag3
nicht,PART,45850,Negation,,
deutsch,ADV,13291,Nation ,Deutsch,
ganz,ADV,12610,Höhe ,,
schueler,NOUN,7288,Schule,Typ,
dichter,ADV,7201,Künstler,,
zeit,NOUN,7049,Zeit,,
wort,NOUN,6662,Sprache,,
leben,VERB,6349,Welt,,
sprache,NOUN,5354,Sprache,,
lehrer,NOUN,5149,Schule,Typ,
alt,ADV,5136,Alter,,
unterricht,NOUN,5090,Schule,Praxis,
gedicht,NOUN,4851,Poetologie,Gattung,
stehen,VERB,4766,Position,,
sprechen,VERB,4521,Sprache,,
weisen,VERB,4502,Disziplin,,
stellen,VERB,4363,Position,,
mensch,NOUN,4122,Anthropologie,,
schiller,PROPN,3700,Person,Schriftsteller,
sagen,VERB,3631,Nennen,,
goethe,PROPN,3412,Person,Schriftsteller,
art,NOUN,3350,,,
lieben,VERB,3249,Emotion ,,
nichts,PRON,3234,Negation,,
geist,NOUN,3208,Idealismus,,
natur,NOUN,3167,Natur,,
schule,NOUN,3152,Schule,,
form,NOUN,3110,Poetologie,,
geschichte,NOUN,3043,Geschichte ,,
literatur,NOUN,2925,Poetologie,,
sinn,NOUN,2900,Poetologie,,
gedanke,NOUN,2811,Idealismus,,
jahr,NOUN,2795,Zeit,,
fragen,VERB,2792,Diskurs,,
gott,NOUN,2767,Theologie,,
zweit,ADV,2731,,,
inhalt,NOUN,2704,Poetologie,,
denken,VERB,2644,Idealismus,Praktik,
bilden,VERB,2585,Pädagogik,,
poesie,NOUN,2505,Poetologie,Gattung,
erscheinen,VERB,2481,Idealismus,,
herr,NOUN,2463,Gender,Mask,
dichtung,NOUN,2458,Poetologie,,
hoeher,ADV,2414,Höhe ,,
stoff,NOUN,2408,Poetologie,,
jugend,NOUN,2404,Alter,,
letzt,ADV,2372,,,
bildung,NOUN,2352,Pädagogik,,
auge,NOUN,2347,Ästhetik,Sinnlich,
darstellung,NOUN,2306,Poetologie,,
zweck,NOUN,2292,Logik,,
welt,NOUN,2256,Welt,,
lectuere,NOUN,2252,Praxis,Methode ,Poetologie
hand,NOUN,2202,Ästhetik,Sinnlich,
lernen,VERB,2161,Pädagogik,,
grund,NOUN,2155,Logik,,
treten,VERB,2151,Position,,
vater,NOUN,2142,Gender,Mask,
verschieden,ADV,2135,Position,,
heissen,VERB,2134,,,
zeigen,VERB,2110,Position,,
verstehen,VERB,2098,Idealismus,Praktik,
poetisch,ADV,2089,Beschreibung,Poetologie,
bild,NOUN,2074,Ästhetik ,,
richtig,ADV,2072,positive Bewertung,,
ausdruck,NOUN,2031,Sprache,,
glauben,VERB,2025,Theologie,,
endlich,ADV,2021,,,
wissen,VERB,2018,Wissen,,
charakter,NOUN,2013,Anthropologie,,
sache,NOUN,1999,,,
bedeutung,NOUN,1984,Poetologie,,
nennen,VERB,1975,Praktik,,
kraft,NOUN,1971,Idealismus,Anthropologie,
tag,NOUN,1948,Zeit,,
koenig,NOUN,1937,Narrativ,,
natuerlich,ADV,1923,Natur,,
fremd,ADV,1911,Alterität,,
