word_original,word_normalized,pos,count,tag1,tag2,tag3
nicht,nicht,PART,45828,Negation,,
deutsch,deutsch,ADV,13271,Nation ,Deutsch,
ganz,ganz,ADV,12604,Höhe ,,
schüler,schüler,NOUN,8778,Schule,Typ,
wort,wort,NOUN,7421,Sprache,,
groß,groß,ADV,7212,,,
dichter,dichter,ADV,7155,Künstler,,
zeit,zeit,NOUN,7072,Zeit,,
leben,leben,VERB,6382,Welt,,
alt,alt,ADV,5990,Alter,,
sprache,sprache,NOUN,5361,Sprache,,
lehrer,lehrer,NOUN,5151,Schule,Typ,
stehen,stehen,VERB,5084,Position,,
unterricht,unterricht,NOUN,5047,Schule,Praxis,
gedicht,gedicht,NOUN,4814,Poetologie,Gattung,
sprechen,sprechen,VERB,4594,Sprache,,
stellen,stellen,VERB,4393,Position,,
weisen,weisen,VERB,4279,Disziplin,,
mensch,mensch,NOUN,4127,Anthropologie,,
schön,schön,ADV,3963,Ästhetik,positive Bewertung,
schiller,schiller,PROPN,3692,Person,Schriftsteller,
sagen,sagen,VERB,3632,Nennen,,
art,art,NOUN,3352,,,
volk,volk,NOUN,3331,Nation,,
gott,gott,NOUN,3282,Theologie,,
lieben,lieben,VERB,3257,Emotion ,,
nichts,nichts,PRON,3236,Negation,,
geist,geist,NOUN,3225,Idealismus,,
natur,natur,NOUN,3192,Natur,,
schule,schule,NOUN,3160,Schule,,
form,form,NOUN,3120,Poetologie,,
wissen,wissen,VERB,3106,Wissen,,
geschichte,geschichte,NOUN,3033,Geschichte ,,
sinn,sinn,NOUN,2912,Poetologie,,
literatur,literatur,NOUN,2893,Poetologie,,
hand,hand,NOUN,2865,Ästhetik,Sinnlich,
gedanke,gedanke,NOUN,2814,Idealismus,,
jahr,jahr,NOUN,2812,Zeit,,
fragen,fragen,VERB,2797,Diskurs,,
zweit,zweit,ADV,2727,,,
inhalt,inhalt,NOUN,2682,Poetologie,,
denken,denken,VERB,2669,Idealismus,Praktik,
mögen,mögen,AUX,2620,,,
göthe,göthe,PROPN,2609,Person,Schriftsteller,
bilden,bilden,VERB,2596,Pädagogik,,
poesie,pösie,NOUN,2499,Poetologie,Gattung,
herr,herr,NOUN,2477,Gender,Mask,
erscheinen,erscheinen,VERB,2463,Idealismus,,
kraft,kraft,NOUN,2461,Idealismus,Anthropologie,
gewiß,gewiß,ADV,2451,,,
früh,früh,ADV,2429,Zeit,,
dichtung,dichtung,NOUN,2413,Poetologie,,
stoff,stoff,NOUN,2412,Poetologie,,
stück,stück,NOUN,2405,Lehrmedien,Poetologie,
jugend,jugend,NOUN,2405,Alter,,
überhaupt,überhaupt,ADV,2380,,,
letzt,letzt,ADV,2374,,,
auge,auge,NOUN,2358,Ästhetik,Sinnlich,
vater,vater,NOUN,2343,Gender,Mask,
bildung,bildung,NOUN,2342,Pädagogik,,
zweck,zweck,NOUN,2295,Logik,,
welt,welt,NOUN,2281,Welt,,
darstellung,darstellung,NOUN,2274,Poetologie,,
aufsatz,aufsatz,NOUN,2258,Praktik,Prüfung,
führen,führen,VERB,2246,Disziplin,,
lektüre,lektüre,NOUN,2188,Praxis,Methode ,Poetologie
grund,grund,NOUN,2174,Logik,,
treten,treten,VERB,2168,Position,,
lernen,lernen,VERB,2161,Pädagogik,,
verstehen,verstehen,VERB,2129,Idealismus,Praktik,
satz,satz,NOUN,2125,Sprache,,
gegenstand,gegenstand,NOUN,2122,Lehrmedien,,
verschieden,verschieden,ADV,2110,Position,,
zeigen,zeigen,VERB,2109,Position,,
poetisch,pötisch,ADV,2091,Beschreibung,Poetologie,
bild,bild,NOUN,2086,Ästhetik ,,
während,während,SCONJ,2069,,,
richtig,richtig,ADV,2067,positive Bewertung,,
glauben,glauben,VERB,2030,Theologie,,
kunst,kunst,NOUN,2024,Ästhetik,,
ausdruck,ausdruck,NOUN,2022,Sprache,,
endlich,endlich,ADV,2021,,,
sache,sache,NOUN,2008,,,
charakter,charakter,NOUN,2006,Anthropologie,,
inner,inner,NOUN,1995,Idealismus ,,
nennen,nennen,VERB,1984,Praktik,,
natürlich,natürlich,ADV,1983,Natur,,
bedeutung,bedeutung,NOUN,1974,Poetologie,,
lang,lang,ADV,1953,Höhe ,,
tag,tag,NOUN,1953,Zeit,,
könig,könig,NOUN,1941,Narrativ,,
gehören,gehören,VERB,1929,,,
wesen,wesen,NOUN,1924,Idealismus,,
fremd,fremd,ADV,1911,Alterität,,
schreiben,schreiben,VERB,1910,Praktik,Sprache,
jung,jung,ADV,1843,Alter,,
suchen,suchen,VERB,1843,Praktik,,
strophe,strophe,NOUN,1816,Poetologie,,
lessing,lessing,X,1771,Person,Schriftsteller,
seele,seele,NOUN,1765,Idealismus,,
namentlich,namentlich,ADV,1760,,,
übung,übung,NOUN,1758,Praktik,,
