word,pos,count,tag1,tag2,tag3
nicht,PART,45830,Negation,,
deutsch,ADV,13682,Nation ,Deutsch,
ganz,ADV,12994,Höhe,positive Bewertung,
schüler,NOUN,8975,Schule,Typ,
wort,NOUN,8313,Sprache,,
groß,ADV,7558,Höhe,positive Bewertung,
dichter,ADV,7462,Künstler,,
zeit,NOUN,7213,Zeit,,
leben,VERB,6867,Welt,,
stehen,VERB,6540,Position,,
alt,ADV,6540,Alter,,
gedicht,NOUN,5507,Poetologie,Gattung,
sprechen,VERB,5466,Sprache,,
sprache,NOUN,5361,Sprache,,
lehrer,NOUN,5354,Schule,Typ,
unterricht,NOUN,5343,Schule,Praxis,
stellen,VERB,5057,Position,,
weisen,VERB,4898,Disziplin,,
mensch,NOUN,4798,Anthropologie,,
schön,ADV,4321,Ästhetik,positive Bewertung,
wissen,VERB,4094,Wissen,,
sagen,VERB,4071,Praktik,,
lesen,VERB,4035,Praktik,Poetologie,
lieben,VERB,3894,Emotion ,,
volk,NOUN,3837,Nation,,
schiller,PROPN,3788,Person,Schriftsteller,
geist,NOUN,3513,Idealismus,,
gott,NOUN,3497,Theologie,,
art,NOUN,3380,,,
gedanke,NOUN,3351,Idealismus,,
fragen,VERB,3261,Diskurs,,
denken,VERB,3240,Idealismus,Praktik,
nichts,PRON,3236,Negation,,
natur,NOUN,3221,Natur,,
erscheinen,VERB,3214,Idealismus,Ästhetik,
mögen,AUX,3189,,,
sinn,NOUN,3169,Poetologie,,
schule,NOUN,3160,Schule,,
jahr,NOUN,3135,Zeit,,
form,NOUN,3120,Poetologie,,
bilden,VERB,3106,Pädagogik,,
geschichte,NOUN,3073,Geschichte ,,
hand,NOUN,2980,Ästhetik,Sinnlich,
literatur,NOUN,2911,Poetologie,,
zweit,ADV,2882,,,
inhalt,NOUN,2859,Poetologie,,
führen,VERB,2781,Disziplin,,
verstehen,VERB,2745,Idealismus,Praktik,
stück,NOUN,2711,Lehrmedien,Poetologie,
göthe,PROPN,2680,Person,Schriftsteller,
stoff,NOUN,2667,Poetologie,,
glauben,VERB,2665,Theologie,,
klasse,NOUN,2653,Schule,,
