Deutsch,Didaktik,Gattung,Klassik,Lehrmedien,Literatur,Poetologie,Schriftsteller,Sprache
Deutschland,didaktisch,Gedicht,lateinisch,Stück,Walther,Gedicht,Schiller,Wort
Sachsen,Wackernagel,Pösie,klassisch,Lesebuch,Hermann,Verfasser,göthe,Sprache
Schwabe,Günther,Drama,griechisch,Sammlung,Heinrich,Stück,Lessing,sprechen
nordisch,hiecken,Fabel,Antik,Gegenstand,Friedrich,Strophe,uhland,Satz
preußisch,,Prosa,Iphigenie,Lesestück,Karl,Dichtung,Klopstock,Schrift
,,dramatisch,Grieche,Material,Maria,Pösie,Herder,Ausdruck
,,Abhandlung,römisch,Lesebüch,Wilhelm,Form,Grimm,schreiben
,,Gesang,Römer,Muster,Tasso,Inhalt,Hebel,bezeichnen
,,Periode,Cicero,Handbuch,Nathan,Stoff,Kleist,grammatisch
,,prosaisch,Orestes,Lehrbuch,Egmont,Darstellung,Müller,Grammatik
,,Ballade,Horaz,unterrichtsgegenstand,Minna,Literatur,Hein,Muttersprache
,,episch,Pylades,,Gudrun,pötisch,Chamisso,mittelhochdeutsch
,,Brief,Altertum,,Siegfried,Sinn,Shakespeare,reden
,,Märchen,Latein,,Faust,Erzählung,Humboldt,französisch
,,Volkslied,,,Hagen,Schrift,Aristoteles,sprachlich
,,Gedicht,,,laokoon,Drama,Gottsched,Stil
,,Gattung,,,Cäsar,Bedeutung,Arndt,Punkt
,,lyrisch,,,Johanna,Fabel,Gleim,ursprünglich
,,Roman,,,Götz,Handlung,Cicero,aussprechen
,,tragisch,,,Tellheim,Leser,Horaz,altdeutsch
,,Romanze,,,Parzival,Einleitung,Schlegel,stilistisch
,,Lyrik,,,Burg,Schriftsteller,Schwab,neuhochdeutsch
,,,,,Emilia,Abschnitt,Max,hochdeutsch
,,,,,Robinson,Form,Korn,Schriftsprach
,,,,,Roland,dicht,Homer,Begriff
,,,,,Wallenstein,Abhandlung,Geller,Buchstabe
,,,,,Orestes,Gesang,,englisch
,,,,,Pylad,Stil,,mundart
,,,,,Nibelungenlied,Zeile,,Orthographie
,,,,,Gleim,prosaisch,,
,,,,,Dietrich,Sänger,,
,,,,,dorothea,Übersetzung,,
,,,,,Glocke,episch,,
,,,,,Hildebrand,Schilderung,,
,,,,,Kriemhild,erzählen,,
,,,,,Nationalliteratur,Märchen,,
,,,,,Nibelung,dichterisch,,
,,,,,Wallenstei,Gedicht,,
,,,,,,darstellen,,
,,,,,,Tragödie,,
,,,,,,gestalten,,
,,,,,,scene,,
,,,,,,lyrisch,,
,,,,,,auftreten,,
,,,,,,Zeichen,,
,,,,,,Dichtkunst,,
,,,,,,romantisch,,
,,,,,,schillersch,,
,,,,,,literarisch,,
,,,,,,Roman,,
,,,,,,metrisch,,
,,,,,,tragisch,,
,,,,,,formal,,
,,,,,,rhetorisch,,
,,,,,,scene,,
,,,,,,Abteilung,,
,,,,,,redensart,,
,,,,,,Aufzug,,
,,,,,,Meisterwerk,,
,,,,,,Metrik,,
,,,,,,reimen,,
,,,,,,Rhythmus,,
,,,,,,Theater,,
,,,,,,Pötik,,
,,,,,,Motiv,,
