Praktik,Bewertung,positive Bewertung,negative Bewertung,Disziplin
lesen ,schwer ,richtig ,Fehler ,weisen 
denken ,reich ,wahr ,falsch ,führen 
Aufsatz ,Urteil ,wesentlich ,schlecht ,folgen 
Lektüre ,gewöhnlich ,wert ,minder ,Arbeit 
verstehen ,klassisch ,eignen ,Mangel ,Stufe 
nennen ,ernst ,gelehrt ,Zweifel ,treiben 
Übung ,streng ,geeignet ,Kritik ,verlangen 
bezeichnen ,selten ,schaffen ,Tadel ,dienen 
Aufgabe ,bedeutend ,vollkommen ,,bestimmen 
begreifen ,Meinung ,angemessen ,,aufgeben 
reden ,eigenthümlich ,vorzüglich ,,Gebieten 
Mittel ,,Erfolg ,,streben 
erklären ,,trefflich ,,Fehler 
Behandlung ,,passend ,,Regel 
treiben ,,gesund ,,Erziehung 
Erklärung ,,Klarheit ,,regeln 
Verständnis ,,Persönlichkeit ,,Bestimmung 
Bemerkung ,,tüchtig ,,Ordnung 
behandeln ,,verständlich ,,Aufmerksamkeit 
Auswahl ,,sorgfältig ,,Sitte 
schriftlich ,,objektiv ,,Pflicht 
Auffassung ,,Fleiß ,,Zögling 
helfen ,,wertvoll ,,zwingen 
bemerken ,,Vollendung ,,Fleiß 
schaffen ,,Meisterwerk ,,Disziplin 
aussprechen ,,,,
Schilderung ,,,,
üben ,,,,
mündlich ,,,,
Studium ,,,,
verbinden ,,,,
dichten ,,,,
gestalten ,,,,
darstellen ,,,,
Besprechung ,,,,
unterscheiden ,,,,
Meinung ,,,,
vortragen ,,,,
vergleichen ,,,,
Verfahren ,,,,
Vortrag ,,,,
Anwendung ,,,,
aufmerksam ,,,,
ansehen ,,,,
Vergleichung ,,,,
Ausführung ,,,,
unterrichten ,,,,
Erläuterung ,,,,
gelesen ,,,,
Beschreibung ,,,,
Bearbeitung ,,,,
Beschäftigung ,,,,
Prüfung ,,,,
Disposition ,,,,
Vorbereitung ,,,,
Anleitung ,,,,
Erörterung ,,,,
Belehrung ,,,,
beschäftigen ,,,,
Wiederholung ,,,,
Praxis ,,,,
vorlesen ,,,,
prüfen ,,,,
Vergleich ,,,,
Korrektur ,,,,
auswendig ,,,,
Kommentar ,,,,
Analyse ,,,,
Lehrstoff ,,,,
Inhaltsangabe ,,,,
Ausarbeitung ,,,,
charakterisieren ,,,,
Hülfsmittel ,,,,
