Intellektuelle Tätigkeit,Fachspezifische Gattung,Literaturbezogene Handlung ,Mündlicher und schriftlicher Ausdruck,Allgemeine Lehr- und Lernpraktik,Unterstützung ,Analytische Tätigkeit,Allgemeine Tätigkeit,Unterscheidende Tätigkeit,Haltung
denken ,Aufsatz ,lesen ,nennen ,Übung ,Mittel ,Behandlung ,treiben ,unterscheiden ,aufmerksam 
verstehen ,Erklärung ,Lektüre ,bezeichnen ,Aufgabe ,helfen ,behandeln ,schaffen ,Auswahl ,
begreifen ,Schilderung ,gelesen ,reden ,üben ,Hülfsmittel ,ansehen ,verbinden ,Vergleichung ,
Verständnis ,Erläuterung ,vorlesen ,erklären ,Studium ,,Bearbeitung ,gestalten ,Vergleich ,
Auffassung ,Beschreibung ,charakterisieren ,Bemerkung ,unterrichten ,,Analyse ,darstellen ,,
auswendig ,Erörterung ,,schriftlich ,Prüfung ,,,Anwendung ,,
,Kommentar ,,bemerken ,Disposition ,,,Ausführung ,,
,Inhaltsangabe ,,aussprechen ,Vorbereitung ,,,beschäftigen ,,
,Ausarbeitung ,,mündlich ,Anleitung ,,,Wiederholung ,,
,,,Besprechung ,Belehrung ,,,,,
,,,Meinung ,Praxis ,,,,,
,,,vortragen ,prüfen ,,,,,
,,,,Korrektur ,,,,,
,,,,Lehrstoff ,,,,,
