,0 Allgemeiner Diskurs der Literaturvermittlung (Institutionalisierung),1 Methodik,2 Unterstufe,3 Goethes und Lessings Dramen,4 Mittelalterliche Literatur,5 Oberstufe,6 Schiller Drama,7 Lyrik Drama Handlung (Religion Weltmodell),8 Lesebücher,9 Kanon Poetologie,10 Interdiskurs (Pädagogik Religion Nation Ästhetik),11 Sprachdidaktik,12 Mythos Fabel Phantastik ,13 Handlung (Religion Welt),14 Lyrik Epik (Form),15 Schillers Lyrik Dramen,16 Literaturvermittlung (Idealistische Poetologie),17 Literaturvermittlung (Praxis Methode),18 Drama Deklamation,19 Allgemeiner Diskurs der Literaturvermittlung (Verfächerung),20 Lyrik Drama Handlung (Figuren),21 Handlung (Dynamik Natur),22 rauschen_Nathan,23 Allgemeiner Diskurs der Literatuvermittlung (Institutionalisierung Verordnungen),24 Mittelalterliche Literatur (Nibelungen),25 Lyrik Handlung Autoren Gattung,26 Literaturvermittlung Patriotisch,27 Literaturvermittlung (Institutionalisierung Idealismus),28 Literarästhetik Genieästhetik,29 Jugendliteratur
A_L_1825_ARN_0912,0.031419729528814964,0.0007918572535769856,2.116993782083858e-05,2.6333011994565572e-05,1.669711034524012e-05,0.07668817584781193,3.890053247390201e-05,0.00026296776137354653,0.06877678082520182,7.674265562005752e-05,0.043901473819263515,3.7707840723309326e-05,4.202505959004511e-05,7.352828933130324e-05,0.008524421157882142,1.9073314312965458e-05,0.31104868716522605,0.11118068763461735,2.255539284669813e-05,1.6592277824251926e-05,0.00211299263280393,9.011339253581533e-05,2.2455761912981194e-05,0.13854480272676414,3.014051381507408e-05,0.0013894914006525225,0.0001420333276372189,0.12346052595604462,0.08118730462246249,3.403324871970055e-05
A_M_1787_BTT_0916,0.16689191639796247,0.0003362218089477214,8.988734721164145e-06,1.1180970923560666e-05,7.0895765860791606e-06,0.020643495316597597,1.6517127725134025e-05,0.05914846223860679,0.041397949935896426,0.002527097801800409,0.01974919490890328,1.601071198405209e-05,1.784379885727351e-05,3.1220039137266964e-05,0.0033422927118439585,0.0002852666155481565,0.0004161158946361695,0.2384532028439956,9.576997558823334e-06,0.15244950287022335,0.022516286785937936,0.0055816241596172095,0.011373427003494103,0.020022451892289222,1.2797632441631427e-05,0.0003128085733148888,0.04662454886777202,3.644570145483553e-05,0.04999346336229806,0.13776699871892478
A_M_1804_LEN_0927,0.18771094679482211,0.002103806264702911,1.3087848254909583e-05,1.627980525952892e-05,1.0322621083887874e-05,0.005036506395841508,2.40493982723207e-05,0.09661448600352217,0.046555376299805856,4.7444458265976654e-05,0.001312993168183325,0.007287472777068551,0.010518657684520205,4.545724703375933e-05,2.36975096935802e-05,1.1791656903241612e-05,0.005045085676623173,0.11231997822321962,1.3944375340435684e-05,0.2796804460784701,0.0009027467177511595,0.010548387238274788,1.3882780707847832e-05,0.10381267771563475,1.8633709483473086e-05,5.189351495957063e-05,0.015019694933339127,0.000860194927468345,0.0005538330320656475,0.11382622514342809
A_M_1833_BIS_0915,0.0808317024524001,0.00013234268265876475,2.0144261734875325e-05,2.5057186770004777e-05,1.588814118667487e-05,0.045020939167329826,3.7015815275987356e-05,0.0039771232482684596,0.0635811217485355,7.302450078611532e-05,0.036805267850941396,0.016806913732498478,3.998896014575385e-05,6.9965869420241e-05,0.04662267649070873,1.8149218902934894e-05,0.06739552113092395,0.1703935560284009,2.1462591949116252e-05,1.5788387764676893e-05,0.0007683201508265342,0.008160689159994176,2.136778809930483e-05,0.31941946335021937,2.8680216458492518e-05,7.987230042158528e-05,0.04672135415000093,0.08269454226326149,0.010169676804397693,3.238434971797199e-05
A_M_1834_NIE_0929,0.2944621471945015,6.687583148796936e-05,1.017936334798826e-05,1.266197848138025e-05,8.028646777523705e-06,0.030597156294905763,0.001274229755472452,0.041872645289198915,0.02365422519778353,0.00035078217745728655,0.051242201636068706,1.8131456740170502e-05,0.009122762181147749,3.5355378924287085e-05,1.8431262107805763e-05,9.17122186589255e-06,0.026837254607491402,0.13946362579447352,1.0845546226269487e-05,0.09825279417102402,0.024243221298689072,4.333016813299368e-05,1.0797639638938573e-05,0.15607409360975477,1.4492779535549222e-05,4.036132860721215e-05,0.03365358388883097,0.01510757087223408,0.044060242833166376,0.009432800595925927
A_T_1793_GED_0920,0.037851662007391505,5.4077502310729846e-05,8.231292721521101e-06,1.0238798611549694e-05,0.017011919044891816,0.002659966935738918,0.002299436373391067,0.007970429678510893,9.148394093719297e-05,2.9839070288330085e-05,0.009201583277280663,1.4661558173521273e-05,0.007630710421876515,2.858926076782778e-05,0.0015377780370718882,7.41608381698014e-06,0.026269910425382768,0.3764848661357175,8.769985180935268e-06,0.19696482836425622,0.0005677612043228505,3.503787863568928e-05,0.02234421729333522,0.24092866946287697,1.1719231019408726e-05,3.2637199305900044e-05,0.0028471611374959087,3.3374579006050126e-05,0.024206680286418262,0.022856343533265346
A_T_1820_BER_0914,0.010170018694185908,0.0010650373010617999,1.5607263093394077e-05,1.9413672809002462e-05,1.2309728836382186e-05,0.02621856792262318,2.8678914880689008e-05,0.01222513892157833,0.00017346168862324732,5.657753116161634e-05,0.04680331746891528,2.779961829992638e-05,3.098243212088077e-05,5.420778115234884e-05,0.0005095100611481886,1.4061554505485035e-05,0.24423539911606465,0.2552168037069275,1.6628671907895666e-05,1.223244241496455e-05,0.04246409226179142,6.643493417162303e-05,1.6555220289477113e-05,0.1300529103513926,2.2220704324359988e-05,0.0005431338061517998,0.00010471223539836102,0.17956981968807256,0.05022927573326753,2.5090572829573057e-05
A_T_1867_WEL_0932,0.09608464235486143,7.900162568987883e-05,1.2025065484587051e-05,1.4957823509966453e-05,9.484385216627667e-06,0.018717676902722833,2.2096496189210213e-05,0.023509364351688964,0.01793173765665388,0.008571842816570073,0.20847995248388793,2.1419016806645088e-05,0.002619425968022405,4.176594667690719e-05,2.1773182293738857e-05,1.0834129772254373e-05,0.1611102723242203,0.23446007837311894,1.2812039331789945e-05,0.031156080765019994,0.0071329301605701865,5.118670897629275e-05,1.2755446416289862e-05,0.01974081703418582,1.7120581809578954e-05,4.7679565308235284e-05,0.009721310155010321,0.0019027244153434378,0.15698372637818445,0.0015025058464570443
M_X_1782_MIE_0944,0.027539075010173462,1.9042140679652835e-05,2.8984591980223027e-06,3.605355928450092e-06,2.286066849611442e-06,4.290437566951104e-05,5.326024436687753e-06,0.1048718712420631,0.01352770923052372,1.0507137902108518e-05,0.0352360670054332,0.0017926455466565174,5.753815695967717e-06,0.009662474265359858,5.248094538062378e-06,2.6114022523376165e-06,0.00040230092280066164,0.21139842321375088,3.0881472782204415e-06,0.4200607340199941,0.00717110695731311,0.012256595083442656,3.07450641641521e-06,2.1394325111764457e-05,4.126655932566136e-06,1.1492434265949897e-05,0.023256722978037936,0.031024578983382917,0.10165167697338018,4.659625532442369e-06
M_X_1785_BAS_0936,0.1408905290298509,0.006284293525801272,2.4814568409401788e-05,3.086652087005805e-05,1.9571695977937397e-05,0.00036731707861894255,4.559767404161227e-05,0.12808971235887773,0.006397061308657731,0.0016202717509554037,0.04074736157765521,4.419964768523448e-05,4.926012182614207e-05,0.00850293062617129,4.493049307805184e-05,2.2356988802641435e-05,0.009565485572228902,0.418786388734757,2.6438544294843453e-05,0.136982822879989,0.016249620109026145,0.00010562737418539518,2.6321760833251145e-05,0.04226688144738116,3.5329524738729194e-05,9.83901365517075e-05,0.0001664858798781835,0.00010061308738484188,0.0041107018296352394,0.038297818151835986
