,0 Allgemeiner Diskurs der Literaturvermittlung (Verordnungen Verfächerung),1 Allgemeiner Diskurs der Literaturvermittlung,2 Literaturvermittlung (Oberstufe),3 Kanon Poetologie,4 Goethes und Lessings Dramen,5 Lyrik (Ästhetik),6 Handlung,7 Interdiskurs (Pädagogik Religion Staat Ästhetik),8 Lyrik (Deklamation),9 Jugendliteratur,10 Mittelalterliche Literatur (Handlung) ,11 Handlung (Robinson),12 Literatur (Patriotisch),13 Literaturvermittlung (Idealistische Poetologie),14 Rauschen,15 Lesebuch Kanon,16 Schiller (Wallenstein Wilhelm Tell ),17 Diskurs der Literaturvermittlung (Methode),18 Prosa (Unterstufe),19 Handlung (Figuren),20 Schiller (Maria Stuart) ,21 Lesebuch (Form),22 Religion Schiller (Johanna) Nation,23 Literaturvermittlung (Patriotisch) ,24 Lyrik (Unterstufe),25 Rauschen (Praxis),26 Mittelalterliche Literatur ,27 Handlung (Idylle Natur),28 Mittelaterliche Literatur (Nibelungen),29 Rauschen
A_L_1825_ARN_0912,0.24870157277531998,2.2590538947879325e-05,0.10121410651406136,0.0001445840422495173,3.412992309752205e-05,0.026685185167377192,0.12867018447174328,9.680339138311712e-05,0.03759940153362239,2.290118439136018e-05,0.00011436977199019864,6.536277772425903e-05,5.388528750214568e-05,0.31160773922614904,2.6982284222465852e-05,2.7460297813131142e-05,2.360219092869399e-05,0.031168463077740197,0.012383058293549435,0.00011760714135542502,4.247359516756954e-05,0.0034686057510074993,0.002746326899999886,0.00920379076570429,2.4498840369592174e-05,0.08560469647792089,1.8723319058250635e-05,4.545007602763419e-05,2.8706459517941255e-05,3.673792405786261e-05
A_M_1787_BTT_0916,0.03551841091235261,0.20379922974452086,0.004431461507520699,0.02955990573891266,1.4270748120841447e-05,0.017111896706152763,0.22105464387658025,0.06309893545907147,2.4486011482294508e-05,0.16482760812042282,0.02061624585440479,0.008687719370117215,0.010306743265758145,0.0003867364453159089,1.128210517098179e-05,1.1481977040930966e-05,9.868786427703821e-06,0.06715990520858862,3.56232866107952e-05,4.917508564844435e-05,1.7759488548832398e-05,0.02120684138622525,0.006831702367528915,0.022522346210560044,1.0243702547121634e-05,0.09452216464094149,7.828783249905547e-06,1.900404478527971e-05,1.2003034757831438e-05,0.00813447613063455
A_M_1804_LEN_0927,0.10223843778815168,0.1271099143187036,0.002095209743598599,8.708827596694126e-05,2.0557705506102672e-05,0.0004788276517816282,0.11531977465323932,0.016822545076341042,3.52732883244511e-05,0.3688270047105959,0.026189909304924132,0.054620606624559385,0.0031513848708990162,0.0025064424904990773,0.004304778123572096,1.6540345371982726e-05,1.4216465973992384e-05,0.06360849632684293,5.131707385646418e-05,7.083909830359248e-05,2.558340546931131e-05,0.04029613392467114,0.007502203098143156,0.0016451212961154065,1.4756550846012937e-05,0.06286896424170936,1.1277742355190417e-05,2.737624915052672e-05,1.729095431028207e-05,2.2128600217734962e-05
A_M_1833_BIS_0915,0.34904516649349415,0.014149341396497341,0.08254023132559818,0.019179168345831145,3.2389866966090685e-05,0.00014016432616873102,0.09016880876470361,9.186803497348684e-05,0.0817517075413704,2.1733606421630742e-05,0.00010853882351623617,0.003133313541006752,0.0031224212111196727,0.07151727650271884,2.5606638312946226e-05,2.606028119298999e-05,2.2398873331893732e-05,0.14874517908212412,0.03140794141921159,0.00011161114110570629,4.030815109422414e-05,0.03584736641945072,0.001992053455207942,0.06647467479423952,2.3249808624742968e-05,0.00015841071923844365,1.77687424529954e-05,4.3132881135634894e-05,2.724290946090914e-05,3.4864903429299134e-05
A_M_1834_NIE_0929,0.1416668361484212,0.0869808635690816,0.00011418412647864779,0.0006784836326954993,0.00032124971393292896,0.020820420355077612,0.15282142824949294,0.053753560391688326,2.7609356809321353e-05,0.14465599332939064,5.392137112950957e-05,3.081627718928611e-05,0.008875005652037355,0.016609475135946957,1.2721208901301096e-05,0.019848258293234264,1.112761243106018e-05,0.19290749350421113,4.0167261682015693e-05,0.01561853841045672,2.0024823416027545e-05,0.004076596150927737,0.018383681591390557,0.025090054995171814,1.1550351468083718e-05,0.09650882821119915,8.827393970870838e-06,2.142813065641605e-05,1.3534097607659874e-05,1.7320653903389034e-05
A_T_1793_GED_0920,0.03386587504967358,0.23641319801680777,0.00033664501031981087,0.000789660126974477,1.2917783615430521e-05,0.0012807951306374298,0.24664314488535807,0.00420128043410022,0.0007571012989377976,0.02475153770399007,0.00028826655376675746,2.47390601125252e-05,2.0394961981573235e-05,0.006964501744808395,0.04067671147692918,1.0393407103547278e-05,8.93315799147177e-06,0.3092013012820694,0.032859419840939944,4.4512951269117605e-05,1.6075767594797e-05,0.0005778906810777391,5.953752798979086e-05,5.382428547447335e-05,9.272529499087634e-06,0.06008301049153391,7.086561064496163e-06,1.7202331389737905e-05,1.0865064985886362e-05,1.390488200350044e-05
A_T_1820_BER_0914,0.1657713386120532,0.10332087047096526,0.008084834138965614,0.004291972323076186,2.453726296985014e-05,0.0005715190348219478,0.16463285660326046,0.014960352911632556,4.2101486042373235e-05,1.6464507761303168e-05,8.222465556416836e-05,4.69917163562683e-05,3.8740124490410105e-05,0.3245389313348147,1.9398561244984216e-05,1.974222288007791e-05,1.6968487266354928e-05,0.10523799782764284,0.0005265871931128107,0.003341905296089655,3.053583715743197e-05,0.00016702801503352908,0.044785363354313205,0.00010223895105920782,1.7613121684669372e-05,0.059217698938697806,1.3460885982308528e-05,3.2675739242164026e-05,2.0638134580977775e-05,2.6412251237671465e-05
A_T_1867_WEL_0932,0.0717210604686323,0.06696759200068574,0.00013469463993615922,0.029958192246387856,1.8981457693323908e-05,0.03715938740576711,0.2699055754516188,0.16312172876746484,3.2568733404427274e-05,0.004332415800517646,6.360708701932798e-05,0.0032761111314908876,2.9968462046984046e-05,0.16214239459645455,1.5006277188921105e-05,0.010814470223542531,1.3126428304647568e-05,0.027413684500610415,0.03856452225453653,6.540755956853711e-05,2.3621815597208934e-05,0.0030089951589694977,0.03464491866246755,0.002598902571406122,1.3625102543658295e-05,0.07388735388510835,1.0413029281293415e-05,2.5277194232515836e-05,1.5965182379929776e-05,2.0431905142367428e-05
M_X_1782_MIE_0944,0.009045479513261833,0.5014789052217407,0.00011924518077284647,0.002015221467697598,4.575690698469498e-06,0.02882928195899618,0.20537978644663935,0.02422335527685182,0.001135933143615293,0.007465767189393069,0.03038677406574173,0.006516928881879211,0.008250901038122128,0.01071061748494393,3.6174293914292787e-06,0.004516009873378346,3.1642709884619444e-06,0.003310901679209376,1.1422045979206697e-05,0.0006231960344261976,9.246984573842359e-05,0.015390418788047316,0.058768133370517124,0.0435803892100566,3.28448193926844e-06,0.030046717247311682,2.510176088428813e-06,0.008076219065333767,3.848584112742157e-06,4.92533712754968e-06
M_X_1785_BAS_0936,0.07618567602135069,0.2638145391422628,0.001023990983331775,0.00016645506278412746,0.0007844580504130078,0.0001700357672434302,0.36274155732067836,0.03662454850054408,6.741914864496721e-05,0.0067328534992304795,0.00907365443729727,0.03956901328174199,6.20364375954523e-05,0.00031966475054060736,3.1063855626326705e-05,3.1614177646709435e-05,2.7172460471804512e-05,0.11114497137489462,9.808423299041989e-05,0.0008805627476532727,4.8898514941810626e-05,0.001012635392757782,0.017319901342011088,0.0001637201839343368,2.8204744786573407e-05,0.07172804369464017,2.1555568656670095e-05,5.2325243789125515e-05,3.304884444386101e-05,4.229521709634207e-05
