,0 Literaturvermittlung (Unterstufe),1 Bildung (Weltmodell Religion),2 Literaturvermittlung (Methode Sprache),3 Mittelalterlive Literatur (Nibelungen),4 Literaturvermittlung (Patriotisch),5 Literaturvermittlung (Oberstufe),6 Lyrik (Poetologie),7 Lesebuch (Sprache),8 _Rauschen_ (Nathan),9 Literaturvermittlung (Praxis Methode [Rhetorik]),10 Schiller (Drama),11 _Rauschen_ (Wackernagel),12 Deklamation,13 Handlung (Drama) ,14 Handlung (Religion Welt),15 Allgemeiner Diskurs der Literaturvermittlung,16 Literaturgeschichte (Lyrik Form),19 Lyrik (Patriotisch),18 Handlung (Maria Stuart),19 Handlung (Hermann und Dorothea),20 Mittelalterlive Literatur,21 Drama (Historisch),22 Drama (Handlung Poetologie),23 Prosa (Unterstufe Jugendliteratur),24 Allgemeiner Diskurs der Literaturvermittlung (Verordnungen Verfächerung),25 Literaturvermittlung (idealistische Poetologie),26 Lesebuch (Form),27 Kanon (Poetologie),28 _Rauschen_,29 Handlung (Ballade)
A_L_1825_ARN_0912,2.5287570918297556e-05,0.01476287776074983,0.20670745972012794,3.887201172099705e-05,0.00022212974752766499,0.2846899845178589,0.01592571236580902,4.0372463603693764e-05,2.8747414742229923e-05,0.002109327188073238,0.013155893667250042,3.3332571688518924e-05,7.742321410917908e-05,2.5346252944449634e-05,9.14614116339721e-05,5.2289011067540934e-05,0.006966173314501873,9.521583501945606e-05,2.988430616976834e-05,0.0001607783214762786,1.764219025345103e-05,2.9589463992210228e-05,0.0022271693545592814,5.5806182557475065e-05,0.049703256306971116,0.3340586299913741,0.06705079701709059,0.00010550790498371459,0.0014201277163290544,9.290520489607742e-05
A_M_1787_BTT_0916,1.0517730198389422e-05,0.08917053332294199,0.06049306966956986,0.0003024791648125608,0.12463781677240403,0.008179789906596707,0.002615541607181646,0.00030310324009954104,0.0017298247306244121,0.13143528704209398,3.194842692885744e-05,0.012325250930621413,0.0020363815347529666,0.01718922179009243,0.001469597715453751,0.22706663104285252,3.429160675032493e-05,3.960263587928751e-05,0.00029874095435352495,0.013809815428028716,7.3378260724990845e-06,1.2306994609744742e-05,0.0029305144656436395,0.1302948652124975,0.08709704949216808,0.014684183384483681,0.048788822405900975,0.002334373984309518,0.008607383637977221,0.012063717344100264
A_M_1804_LEN_0927,1.5094411574831145e-05,0.04250564622454205,0.007512932291304984,0.0004340998409705477,0.034237020684250156,0.0026994125679158476,5.5596820857288894e-05,2.4098739412060184e-05,1.7159627994067538e-05,0.11261209478484807,4.585045405580365e-05,0.02056473339259846,4.6214714057988324e-05,0.001247819649712157,0.02388660498991231,0.18657833033103638,4.921324431110851e-05,5.683531276564579e-05,1.7838250198572954e-05,0.03296770917581202,0.014391916591132174,1.7662255865544258e-05,9.67301201429679e-05,0.2736905379566168,0.1997796347074507,0.0005290168807568401,0.04248869186727709,0.002528359175811376,2.5895389485983682e-05,0.0008772495473302239
A_M_1833_BIS_0915,2.3239866718447425e-05,0.011669536995467059,0.3342087283469546,3.572428424986563e-05,0.07422191289018491,0.08703070462780631,0.02412555838869561,0.043055978384060896,2.641954378567619e-05,0.04305950441902389,7.059291022737956e-05,3.0633409825210114e-05,0.010825872524644883,2.3293796867410686e-05,8.405516777875112e-05,0.014598556708011102,0.022850468984471677,0.0007201360872305155,2.7464373490146556e-05,0.01659615246212569,1.621358379720945e-05,2.719340666096529e-05,0.00014892896544111412,0.0051123313169550415,0.1810613809434063,0.06344491346039384,0.037581284686569266,0.02666744593239831,0.0025703914853398096,8.538204741810948e-05
A_M_1834_NIE_0929,1.175641643025808e-05,0.09071140251634721,0.1271431002013886,1.8071943673452715e-05,0.10955372518954441,0.01394359254488758,0.006763944056972574,0.0019389529398243992,1.3364928568858692e-05,0.2701263547073205,3.57110331014989e-05,1.5496608777797205e-05,3.5994740237304736e-05,1.1783698225676237e-05,4.252122301277237e-05,0.08579250250816493,3.833017213934643e-05,4.426668780723038e-05,1.3893479496162706e-05,0.009995694954505264,0.007048874561057831,1.375640474779021e-05,0.006475950521756542,0.015067381601618439,0.17832231220131792,0.034335269961393494,0.04237358132581721,4.9051562590977326e-05,2.0168853943838253e-05,4.3192455330156747e-05
A_T_1793_GED_0920,9.559756861125496e-06,0.032905510581197374,0.3493074438331027,1.4695242257794924e-05,0.0029465437915624777,0.0022300884964520274,3.5211183093315e-05,1.5262475671662273e-05,0.0062564738587183545,0.22017432922888408,0.000809739275165116,0.06767333424865077,2.9269205202902986e-05,9.581941115356344e-06,0.00029480981859474233,0.2217387852749453,3.1168266986030415e-05,3.59955582549215e-05,1.1297514572255772e-05,0.0018824160367064656,6.669483987434894e-06,1.1186051927663805e-05,0.01125130649940841,0.004965535256792455,0.059126110913522406,0.015688824475283015,0.0008860414135442401,3.988639010958617e-05,0.001577801883766417,3.512204366362839e-05
A_T_1820_BER_0914,1.8161499423078645e-05,0.09613185908551937,0.2394244712626076,2.7917826537224508e-05,0.0006539216103900534,0.05120358340257466,6.689373911125478e-05,2.8995449061349032e-05,2.06463546041203e-05,0.03661648698679889,0.015381205031460317,2.393940815615198e-05,5.560524824309283e-05,1.8203644775336853e-05,6.568746282476752e-05,0.10039838376451242,5.9213060657120986e-05,0.0010571605335875655,2.1462868498319674e-05,0.006048130667867006,1.2670597312217664e-05,2.125111324294454e-05,0.02285824798716188,4.007992525642075e-05,0.05349479151228436,0.37093336475278427,0.005144008009153414,7.577563545676347e-05,3.115716693417051e-05,6.672439320378613e-05
A_T_1867_WEL_0932,1.4504390700893178e-05,0.15613606902975255,0.056968511739504075,2.2296125126161312e-05,0.1679324192282481,0.06142435856225163,0.032429919761755445,2.3156751099483905e-05,0.003964842069302028,0.07346472672035155,0.006756258640529423,1.9118824991054454e-05,4.440824112314704e-05,1.4538049411616316e-05,5.246024035604203e-05,0.08334024410251711,4.728956273704969e-05,5.461369447053851e-05,1.7140976249236916e-05,0.03562739758405962,1.0119169653831295e-05,1.6971861305289864e-05,0.03049526861958653,0.014246080670200572,0.04035374673576715,0.22793348197529692,0.00766169749733949,0.0008501876356503942,2.4883172463826923e-05,5.3288368199264e-05
M_X_1782_MIE_0944,3.3390555052661197e-06,0.16028848412964347,0.022022433052534318,5.132790537973215e-06,0.06320137743385625,5.177057260484689e-05,1.2298649062171302e-05,0.010367364471123294,0.009275089086455987,0.0167305232679066,1.0142641882725732e-05,4.40134433476538e-06,0.010826731932194715,0.0010940871783813111,0.014827966955235078,0.5769176673921375,0.0018287871531728504,0.011192661454182521,3.946023813818379e-06,0.0213815620378539,2.329533852067743e-06,3.907091865813531e-06,0.0026573537072329023,0.005097490581892553,0.004381503578261968,0.0418378438675604,0.017306849567865632,1.393161692450469e-05,5.728354655994696e-06,0.008647295477468927
M_X_1785_BAS_0936,2.9704251392406385e-05,0.12892848915758232,0.1781223977487661,4.566132555869861e-05,0.05605450372368325,0.0020777563613846757,0.0009180114003931241,4.742384359848325e-05,3.3768385154269134e-05,0.09627563629120656,9.022898355312708e-05,3.9154377151928996e-05,9.094580981849365e-05,2.9773182712961807e-05,0.00010743589301865508,0.3518035388710645,9.684660932994559e-05,0.001729051193422464,3.5103843940665946e-05,0.05840824447530451,2.0723542648455052e-05,3.4757505172439944e-05,0.01878821400786786,0.012194591710108454,0.08830263036007024,0.00023244830942074468,0.0011359189518737735,0.00012393572097724358,0.0032853697390969948,0.0009177344247266034
