,0 Oberstufe (Rhetorik),1 Kanon (Poetologie),2 Literaturvermittlung (Lesebuch Methode),3 Handlung (Ballade Drama),4 Unterstufe,5 Literaturvermittlung (patriotisch),6 Handlung (Hermann und Dorothea),7 _rauschen (Wackernagel),8 Schiller (Drama),9 Mittelalterlive Literatur,10 Literaturvermittlung (idealistische Poetologie),11 Literaturvermittlung (Sprache),12 Handlung (Religion Welt) ,13 Lyrik (Poetologie),14 _rauschen (Handlung Methode),15 Literaturvermittlung (Praxis Methode [Rhetorik]),16 Prosa (Unterstufe Fabel Volkslied),17 Oberstufe,18 Literaturvermittlung (Ästhetik),19 Literaturvermittlung (Methode),20 Deklamation,21 Lesebuch (Form),22 Prosa (Unterstufe Jugendliteratur),23 _rauschen (Nathan Religion Nation),24 Drama (Handlung Poetologie),25 Handlung (13),26 Lyrik (patriotisch),27 Handlung (Welt),28 Allgemeiner Diskurs der Literaturvermittlung (Verordnungen),29 Mittelalterliche Literatur (Nibelungen
A_L_1825_ARN_0912,1.3543585059512205e-05,8.810591553235369e-05,0.26616930649733855,7.995085311847873e-05,2.3474954648475802e-05,0.026133583111637944,6.686900909570302e-05,2.4502374884365064e-05,0.04358321935720817,1.9569500450098156e-05,0.11108686429572391,0.2919908225696693,0.0007320126902751526,0.009209801126002294,3.8772710086723275e-05,0.00012156867842809064,4.913407952586731e-05,0.12084320832173867,0.02686065983690269,0.03335733909460944,0.027926824953710877,0.03978122971487526,0.0006782230051157722,2.8249858940115953e-05,0.00011462667871392288,1.5017777769404462e-05,5.968199042635618e-05,0.0008290910516464299,4.2824578980889194e-05,3.1921827885201536e-05
A_M_1787_BTT_0916,0.028352380587935398,0.00603344195577845,0.014281143456354884,0.0049397574820354805,9.86548351671918e-06,0.05486564209113466,2.8102082278392656e-05,0.015546463250122072,5.4287250404382326e-05,8.224194125691622e-06,0.0006215186716939115,0.11916747165976373,0.022112777751601396,0.00032713532392138553,0.0008339873991538291,0.2025663763974066,2.064887702362766e-05,0.0003606488183647936,0.20399131653013766,0.055448387883951906,1.6141822217300172e-05,0.020806753305485995,0.18535619735519204,1.1872164265989389e-05,0.0022286870397382557,0.0040947760402455,2.508169671094288e-05,0.013158953072636167,0.044718545026654614,1.3415330148271451e-05
A_M_1804_LEN_0927,0.007848682938995623,5.32553517910734e-05,0.01779616287886583,4.83260491999257e-05,1.4189364704178056e-05,0.02285281147031525,0.009841039468916984,0.0043270834939144465,7.808047050804728e-05,1.1828724831340566e-05,0.00010987055458530687,0.10396836851824197,0.037684821498510476,7.848859495676613e-05,2.3436046298202367e-05,0.12356130264197696,0.023159163797424276,0.00012669050967924938,0.09268068533720748,0.026827163903139214,2.3216520715189987e-05,0.027965891190139702,0.21484753075100702,1.7075541032788183e-05,6.928574616888986e-05,9.07744994643529e-06,0.0012121490810456101,0.02794287951739196,0.2568021475370331,1.9295051456746268e-05
A_M_1833_BIS_0915,1.284385571430586e-05,0.014229923438020221,0.3508271958822723,7.582019215570875e-05,0.011093333915239771,0.1151971444812554,6.341422162668863e-05,2.3236459644160958e-05,0.002582740975189488,1.8558442175956404e-05,0.011243451011972876,0.2307756504144296,0.0006941932533832034,0.0001231431174320526,3.6769517953942784e-05,0.10713564850936119,4.659556722333596e-05,0.028491507580800674,0.026703022888842635,0.001496014451486776,0.04801106953903792,0.040801230134386565,2.8123068279171798e-05,2.6790329929777915e-05,0.0007237640352827852,1.4241884255326421e-05,5.659852028915533e-05,0.007551911046370601,0.001885790679395322,3.0272586593050925e-05
A_M_1834_NIE_0929,0.08627019709408969,4.185236994175904e-05,0.11134048544494085,0.0006541482644341109,1.1151152341788495e-05,0.053081265852962946,0.00033984921273888475,1.163920097664204e-05,0.005606889617808469,9.295970281497944e-06,0.01148548536963382,0.1359297041259565,3.96382736546067e-05,0.006531464964791587,1.8417943862103404e-05,0.2298890609168326,2.33398366118706e-05,0.000715733406207914,0.12428616437680112,0.01615360089031325,1.824542287401645e-05,0.01920509913626285,1.408691551095914e-05,1.3419343525578331e-05,0.006216147750732494,7.1337955812675914e-06,0.005573877999279089,0.03736402202414738,0.14913341971227317,1.5163614631278822e-05
A_T_1793_GED_0920,0.0248217164634364,3.337877069776859e-05,0.06521000103317962,0.0005217067743421503,8.893445163330207e-06,0.0003180199415059451,2.5333206152007475e-05,0.03760272408268676,0.0025060260434792976,0.008115803192551705,6.886338977398965e-05,0.13715675498703636,0.0069114584344381795,4.919416970016279e-05,0.00222606787878057,0.4356877005518877,1.861435936543453e-05,0.0005708231404766829,0.16054987920695854,0.03475115813966499,1.4551381134284713e-05,8.281390413833733e-05,0.05873563021329149,0.004924877755791594,4.342611505164859e-05,5.689458619505784e-06,2.2610416805625643e-05,0.00031409968256122046,0.01869009033313833,1.2093528190425616e-05
A_T_1820_BER_0914,9.790754069785148e-06,6.369239365205473e-05,0.15443849003927787,5.7797040969057366e-05,1.6970211856953054e-05,0.016547881897957525,0.0005171943636699149,1.7712941260704788e-05,0.0994904903143494,1.4146931210129795e-05,0.11828268188924024,0.4009682283684119,6.0322904839327945e-05,0.0005627251561903247,2.8029068183211012e-05,0.06338321078302898,3.5519375923671325e-05,0.0015580822964470005,0.09865413571387535,0.037711032081335354,2.776651973728628e-05,0.000626877349801724,2.1437958455299246e-05,2.042202416667647e-05,0.006646824374610009,1.0856458476011624e-05,4.314453581471217e-05,0.00013050154347211393,3.095819305609158e-05,2.307651666148096e-05
A_T_1867_WEL_0932,0.03547564528763191,0.009556561550914734,0.04694776102313395,4.507469563588596e-05,1.3234711007751741e-05,0.08055051787254451,3.769941301308599e-05,1.3813950035435801e-05,0.049435521144630304,1.1032893860773998e-05,0.18914331363923748,0.14012007717916913,0.0011439933168321632,0.008483148360370465,2.1859280269938302e-05,0.0859961903238303,0.003318547073005591,0.00048381641693041996,0.31461051363932185,0.013321458398113254,2.1654524263552648e-05,0.0019514867869808283,1.6719012534650547e-05,1.5926706768162468e-05,0.0011615729873123105,8.466723439212761e-06,3.3647515298246406e-05,0.017287305872469867,0.0007554428118559993,1.7996889588336824e-05
M_X_1782_MIE_0944,0.28269798021188025,1.1922816229974998e-05,3.471163648089458e-05,0.015282203799346784,3.176717120407151e-06,0.0321483968912829,9.048960017171906e-06,3.315751401924457e-06,1.7480667570643542e-05,2.6482167079150743e-06,0.02889980196840081,0.27069043722540015,0.031343960382512887,0.01037402823177028,5.246865597036377e-06,0.008442042599505045,0.0011476145169959577,2.836349050727233e-05,0.1883835296850696,0.0757804989578437,5.197718176241883e-06,0.0006439469717912789,0.006059906926940962,3.822874714264045e-06,1.5511703352729233e-05,2.032260869719492e-06,0.0065028031514923704,0.041450253842592384,5.7951793841549306e-06,4.31977904435246e-06
M_X_1785_BAS_0936,1.5726292365851833e-05,0.00010230521540156696,0.0002978475369091768,0.011389217300593453,2.725821844473574e-05,0.004740184768579373,0.0008307378282684475,2.845121948110749e-05,0.000149995053742569,2.2723354575586573e-05,0.003976525287993607,0.24415895835459395,0.011393274441996157,0.00015077907371863883,4.502138628442178e-05,0.21929096066342937,5.705261172396209e-05,0.00024337647665755228,0.23377134333525373,0.08843734314962928,4.4599670695266656e-05,0.00025382283781001257,0.08212147288936682,0.007563723608734008,0.00013310011008611347,1.743806849141249e-05,6.930044196544897e-05,0.046901326602979646,0.04372906779602564,3.706640420311001e-05
